"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"10000 Maniacs","19807","MORE THAN THIS","I could feel at the time","EUA","INT10A"
"10cc","4920","I'M NOT IN LOVE","I'm not in love so don't forget it","EUA",""
"14 Bis","1039","BOLA DE MEIA BOLA DE GUDE","Há um menino há um moleque","BRA","INF1B"
"14 Bis","3755","LINDA JUVENTUDE","Zabelê, zumbi, besouro vespa fabricando","BRA","2D"
"14 Bis","7392","NATURAL","Penso em você no seu jeito de ","BRA","10D"
"14 Bis","17826","NOVA MANHA","Para melhor a gente compreender","BRA","40L"
"14 Bis","6074","PLANETA SONHO","Aqui ninguém mais ficará de...","BRA","4H"
"14 Bis","7693","ROMANCE","Flores simples enfeitando a mesa do café","BRA","11D"
"14 Bis","6197","TODO AZUL DO MAR","Foi assim como ver o mar a ...","BRA","5C"
"14 Bis","9556","UMA VELHA CANÇÃO ROCK'N'ROLL","Olhe oh oh oh venha solte seu corpo no mundo","BRA","13D"
"19","18483","ANO KAMI HIKOHKI KUMORIZORA WATTE","Genki desu ka kimi wa ima mo","JAP","JP7D"
"30 Seconds To Mars","20379","THE KILL (BURY ME)","What if I wanted to break","EUA","INT13K"
"365","6549","SÃO PAULO","Tem dias que eu digo não invento no meu","BRA","6D"
"3 Doors Down","9033","HERE WITHOUT YOU","A hundred days had made me older","EUA",""
"4 Non Blondes","2578","SPACEMAN","Starry night bring me down","EUA","INT04B"
"4 Non Blondes","9072","WHAT'S UP","Twenty-five years and my life is still","EUA",""
"5 a Seco - Maria Gadú","15225","EM PAZ","Caiu do céu se revelou anjo da noite e das manhãs","BRA","24B"
"5 Seconds Of Summer","20533","COMPLETE MESS","Caught up in heaven but your heaven","EUA","INT14K"
"5 Seconds Of Summer","19852","SHE LOOKS SO PERFECT","He-ey e-hey... Simmer down simmer down","EUA","INT10B"
"5th Dimension (The)","9092","AQUARIUS","When the moon is in the seventh house and","EUA","INT02-8E"
"A Banda Mais Bonita da Cidade","15450","CANÇÃO PRA NÃO VOLTAR","Não volte pra casa meu amor que aqui é ","BRA","25D"
"A Banda Mais Bonita da Cidade","2748","ORAÇÃO","Meu amor essa é a última oração","BRA","21D"
